Year,Month,Day,Hour(UTC),Minute(UTC),Second(UTC),Latitude (deg),Longitude (deg),Altitude (km),Cd,Aref (m2)
2022,2,5,9,39,33.064231,-43.2379450602231,109.82932513658,264.356423740411,6.033404763574,1.44930755963785
2022,2,5,9,40,33.064192,-45.4472044596282,114.260311669695,269.199663394286,6.04093679275324,1.42771467653687
2022,2,5,9,41,33.064036,-47.4465191065763,119.045290958264,274.021696634714,6.06020464787398,1.45313900876962
2022,2,5,9,42,33.064,-49.205536149554,124.194062074783,278.789983262237,6.08061630784614,1.48672131332844
2022,2,5,9,43,33.065343,-50.6927463861302,129.699732743823,283.473418254638,6.09159223525374,1.49246720113759
2022,2,5,9,44,33.063774,-51.877156548899,135.532646177432,288.042916567029,6.12830142523872,1.57060943131974
2022,2,5,9,45,33.063678,-52.7310598257815,141.638051718034,292.4710020168,6.16059859114517,1.63370464583912
2022,2,5,9,46,33.063625,-53.2325750709941,147.934730347172,296.733159039034,6.21541530885203,1.7271935876039
2022,2,5,9,47,33.063449,-53.3684829995867,154.320861894915,300.806377648812,6.2162043696121,1.71769599063089
2022,2,5,9,48,33.063323,-53.1360491514425,160.684168935305,304.671642537932,6.22892290495044,1.74223572874791
2022,2,5,9,49,33.063184,-52.5434419753178,166.914937573614,308.311388780611,6.20261429300023,1.68535608689405
2022,2,5,9,50,33.063092,-51.6086464949148,172.918398302027,311.710863278183,6.17513395793207,1.6141278146679
2022,2,5,9,51,33.062988,-50.3571663638107,178.623133385832,314.85904036308,6.17386523539081,1.60937864513992
2022,2,5,9,52,33.064611,-48.8190952603702,-176.01565837219,317.747030256994,6.16801467970656,1.59660122110101
2022,2,5,9,53,33.062658,-47.0266081647466,-171.018573187187,320.367991720203,6.14249520313527,1.52596945252912
2022,2,5,9,54,33.063344,-45.0112009038886,-166.385012496553,322.717318650233,6.12759183193352,1.48204781879739
2022,2,5,9,55,33.062511,-42.802825290865,-162.100657573386,324.793315878995,6.10395910710596,1.40352095011496
2022,2,5,9,56,33.062427,-40.4284994052195,-158.141406631267,326.595925131425,6.10680624432609,1.4201351354912
2022,2,5,9,57,33.063284,-37.9122511049076,-154.478322018573,328.127475717155,6.10744195946559,1.43094189131256
2022,2,5,9,58,33.062268,-35.2751919214134,-151.080715731358,329.391738384544,6.09318241469659,1.38759707759331
2022,2,5,9,59,33.064665,-32.5352390811034,-147.917556809785,330.394217447877,6.08968966429524,1.38157600466525
2022,2,5,10,0,33.062015,-29.7084138895349,-144.959862934983,331.141651068204,6.07705634025855,1.34522294864499
2022,2,5,10,1,33.061918,-26.8078195400613,-142.179763034945,331.642444450499,6.06718282886528,1.32386822158782
2022,2,5,10,2,33.061665,-23.8451879891756,-139.55207565485,331.904136658392,6.07603773683134,1.40041442008692
2022,2,5,10,3,33.061576,-20.8305857154098,-137.053620642933,331.935896843668,6.05498236059121,1.31944254730437
2022,2,5,10,4,33.06183,-17.7728347615256,-134.66322078605,331.747040994883,6.04297758442684,1.2809271611711
2022,2,5,10,5,33.06137,-14.6798093305794,-132.361516520162,331.346820682436,6.04355816864618,1.32578301237351
2022,2,5,10,6,33.061486,-11.5584700175826,-130.130550867967,330.744712376204,6.02607439063421,1.24360135637059
2022,2,5,10,7,33.061074,-8.41527852392797,-127.953680324005,329.949030589165,6.02040160769502,1.24455358222062
2022,2,5,10,8,33.060934,-5.25614393907365,-125.815136529564,328.968232172434,6.01251062633709,1.2279661317007
2022,2,5,10,9,33.061794,-2.08666825537751,-123.699823024242,327.810608814022,6.01241229784471,1.27468638705726
2022,2,5,10,10,33.060735,1.08753848818935,-121.593174886886,326.483659745433,6.00194047916126,1.24037068172806
2022,2,5,10,11,33.061125,4.26125817864095,-119.480547705107,324.99413580632,5.99862429025814,1.2606598183684
2022,2,5,10,12,33.060428,7.42889396594897,-117.347382914457,323.348574211211,5.9959854437617,1.28508963789
2022,2,5,10,13,33.061181,10.5849459460231,-115.17855701698,321.551128030816,6.00669759480175,1.37451426581253
2022,2,5,10,14,33.060268,13.7232973949695,-112.95849837881,319.606052575194,6.01457864909754,1.43421397006821
2022,2,5,10,15,33.060197,16.8376722826634,-110.670498716132,317.516695732147,6.01305784619202,1.45068943479409
2022,2,5,10,16,33.062044,19.9211022150057,-108.296679038816,315.285911108579,6.02617668108165,1.51663478590413
2022,2,5,10,17,33.05983,22.9654657905091,-105.817943454898,312.916192818866,6.0160413817426,1.50753841070876
2022,2,5,10,18,33.059751,25.9622568329602,-103.212910502296,310.409004102023,6.00917827662104,1.51535077670366
2022,2,5,10,19,33.059583,28.9012917147484,-100.458494868617,307.766040332993,6.01038147502673,1.54543875424245
2022,2,5,10,20,33.059587,31.7709824426763,-97.5292640343421,304.989299462189,5.97838217701271,1.48765746709208
2022,2,5,10,21,33.059204,34.5578567214451,-94.3975165612163,302.081131327981,5.99752876821488,1.5647463717221
2022,2,5,10,22,33.059156,37.2463093145803,-91.0333203472977,299.04300671903,6.05681353545485,1.70559107154127
2022,2,5,10,23,33.059677,39.8181388676215,-87.4051268596219,295.877962894258,6.13367131392847,1.87281458968357
2022,2,5,10,24,33.058795,42.2521450857373,-83.4809812239192,292.590271764622,6.00803535696907,1.64228286277035
2022,2,5,10,25,33.058586,44.5241299938564,-79.2300211033115,289.184635566371,6.04768652827167,1.75498763277511
2022,2,5,10,26,33.058745,46.6065475265418,-74.6258551091443,285.666860422981,6.02332883851363,1.72557501773877
2022,2,5,10,27,33.058333,48.4688491076583,-69.6507272127545,282.044405776785,6.00747524057443,1.71315747981125
2022,2,5,10,28,33.058062,50.0783372045656,-64.3007615998111,278.325906943732,5.97826624588485,1.66798274124531
2022,2,5,10,29,33.058051,51.4015241669525,-58.5921306956505,274.522147573497,5.93640968747873,1.58790833573579
2022,2,5,10,30,33.057963,52.4063996910858,-52.5663457253257,270.645159967329,5.90982030681175,1.54513195464269
2022,2,5,10,31,33.057744,53.0652970121851,-46.292702192106,266.708791735551,5.93554997029503,1.64042716195288
2022,2,5,10,32,33.064149,53.3579843076676,-39.8652926756415,262.728429443215,5.93207639056126,1.65582862170202
2022,2,5,10,34,33.057414,52.8152383341016,-27.0074004912636,254.711599883141,5.87627640713224,1.5654612772759
2022,2,5,10,35,33.057302,51.9934841113386,-20.8004692576303,250.715839396812,5.84165572515625,1.49383490213316
2022,2,5,10,36,33.05842,50.8307702880126,-14.8647885831939,246.759410828724,5.80703609911578,1.39937372404766
2022,2,5,10,37,33.056653,49.355666528315,-9.26101493314803,242.867142427819,5.81830449629554,1.48039394706103
